,paragraph_1,paragraph_2,paragraph_3
0,"
","The Islamic State has finally fizzled.#$Its caliphate, daringly declared from the pulpit of the Great Mosque of al-Nuri, in Iraq, in 2014, had been the size of Britain, ruled eight million people, lured recruits from eighty countries, and threatened to redraw the map of the Middle East.#$It ended, in the Syrian farming hamlet of Baghouz, as little more than a junk yard about the size of Central Park, filled with burnt-out vehicles and dilapidated tents.#$Tens of thousands of ISIS loyalists, both fighters and their families, opted to surrenderand face life in crammed prisons and dreary detention campsrather than become martyrs in ISISs promised paradise.#$
","
"
1,"The dangers are far from over.#$ISIS has sleeper agents.#$There are thousands, General Mazloum Kobani Abdi, the reclusive politician turned commander who led the campaign against ISIS in Syria, told me, when I travelled through the former caliphate last month.#$Abu Bakr al-Baghdadi, the Islamic States caliph and the worlds most wanted man, has evaded capture.#$ISIS also still has affiliates active from Nigeria to Afghanistan, from Egypt to the Philippines.#$Frankly, our job has just started, Mazloum warned.#$We are finishing the great battle, then we will fight a different kind of war.#$
","
","The drive to flush ISIS out of Syrian territory was described as the most successful unconventional military campaign in history by the Middle East Institute last month.#$More than a dozen American diplomats and military officials involved in Syria told me the same thing.#$The campaign was distinct from the counterpart operation in neighboring Iraq, where the United States coordinated with a friendly government, retrained its conventional Army, provided sophisticated weaponry, established a headquarters for a coalition of seventy-four countries, and had legal status granted by parliament.#$
"
2,"
","The campaign in Syria liberated roughly the same amount of territory.#$But it relied on an unlikely partnership between elite U.S. Special Forces teams and a scrappy local militia led by Mazloum, a middle-aged Kurdish rebel whose face has been weathered by years of conflict and five stints in Syrian prisons.#$They all operated in defiance of the Syrian government and its Russian, Iranian, and Hezbollah allies deployed nearby.#$Their mission was shrouded in secrecy.#$American troops wore no identifying insignias, ranks, or names on their uniforms.#$The Syrian fighters knew only the first names of the Americans, including the commander.#$Yet they established an unusual level of trust.#$The U.S.-led international coalition provided air cover, but it depended on the Syrian Democratic Forces, or S.D.F., to protect their troops on the ground.#$
","
"
3,"Together, they seized twenty thousand square miles in northern Syria, a dusty region of crops, pastures, and oil fields that reminded me of Oklahoma.#$When I drove around Raqqa, the former ISIS capital, little girls with ponytails and pastel backpacks were headed to schoolafter years of being banned from education or even from leaving home.#$Women, their faces uncovered, strolled to the street markets rising amid the rubble, much of it created by U.S. air strikes.#$Small groups of men sat curbside, sipping their morning tea and smoking, another practice that was banned under ISIS.#$At several shops, workers were pounding twisted construction rodsgiant metal tumbleweeds pulled from bombed-out buildingsto flatten them, for use in reconstruction.#$Spring lambs, small and pristine white, nibbled along the roadsides.#$
","
","In Washington and other Western capitals, the territorial defeat of ISIS, which for years was considered the greatest threat to global security, will almost certainly be studied as a model for future counterterrorism operations.#$The S.D.F.#$is the best unconventional partner force weve ever had, anywhere, Brett McGurk, the former lead coordinator of the campaign against ISIS, who is now a fellow at Stanford, told me.#$The S.D.F.#$in effect conquered one-third of Syria, once the heart of the ISIS caliphate, with very low costs for the United States. Mazloum, who is on Turkeys most-wanted list, evolved into one of the most important U.S. allies in the Middle East.#$
"
4,"
","The collaborationwhich deepened over three phasesis an epic with twists, tragedies, and, ultimately, betrayal at an enormous cost to Americas allies in Syria.#$Eleven thousand Kurdish fighters have died since 2014.#$The Americans have lost eight.#$
","
"
5,"The crisis on Mount Sinjar eased after Kurdish fightersincluding Mazloums militiacreated an escape route for the Yazidis into Syria.#$Pentagon officials took note.#$The United States had struggled to identify or create a credible rebel force in Syria.#$Mazloum had a standing militia that proved it could fight, even with only vintage weapons.#$Between 2011 and 2013, without foreign support, it had pushed Syrian government forces out of northern Kurdish towns during the Arab Spring and fought off an Al Qaeda franchise that moved on Kurdish turf.#$A senior U.S. military official looked for an introduction.#$The United States was not the only country interested in the Kurdish general, U.S. officials told me.#$On the morning of August 18th, Mazloum met Qassem Suleimani, the head of Irans Quds Force, the most elite unit in the Revolutionary Guard.#$The Iranians had rushed infaster than the Americans didto help the Iraqis hold off the ISIS juggernaut.#$Hours after meeting the Iranian commander, Mazloum rendezvoused with the American official in Suleimaniya, a Kurdish city in northern Iraq.#$
","
","Mazloum came with complications, however.#$His original militia was the Peoples Protection Units, or Y.P.G.#$; it was Kurdish.#$Its political arm sought autonomy in Syria.#$Many of its members, including Mazloum, had trained with a militant Turkish movementthe Kurdistan Workers Party, or P.K.K.which was waging an insurgency to win autonomy in Turkey.#$The P.K.K.#$was on the U.S. and Turkish lists of terrorist organizations.#$Its leader, Abdullah Ocalan, had lived in the Kurdish region of Syria for two decades before he was imprisoned, in 1999, in Turkey.#$Ocalan was a personal friend of Mazloums; they were once photographed swimming together in the Euphrates River.#$For a period of time, I served in P.K.K.#$ranks, Mazloum told me.#$Ocalan was working here, and the people here had loyalty to him.#$But the Y.P.G.#$is not a terrorist organization.#$Always the Turks like to paint everything in Syria like its the P.K.K., but this is not true. Yet Mazloum has relatives who are still with the P.K.K.#$Huge posters of Ocalan adorned every Y.P.G.#$and S.D.F.#$base I visited.#$
"
6,"
","The American overture to Mazloum had both conditions and limits, senior U.S. officials told me.#$The U.S.-backed coalition could provide strategic advice but no major arms, because of the Y.P.G.s history.#$If the Kurds took territory from ISIS, they had to include other ethnic or religious groups, notably Arabs and Christians, in setting up governance and security.#$The Kurdish militia had to accept that its region would remain part of Syriaand not try to break away into an independent Kurdish state.#$And they had to vow not to attack Turkish interests.#$If any of those terms were violated, the U.S. would walk away.#$Mazloum opted for an alliance with the Americans.#$At the time, ISIS was getting stronger every day, he told me.#$We were at capacity just stemming the tide and protecting our area.#$The United States intervening in this fight changed the balance of power between us and ISIS.#$
","
"
7,"The makeshift alliance was tested a few weeks later, when ISIS invaded Kobani, a strategic town built as a whistle stop on the Berlin-Baghdad railway.#$Kobani is Mazloums home town.#$He incorporated it into the nom de guerre by which he is known.#$(His real name is Ferhat Abdi Sahin.)#$ISIS seized sixty per cent of the city, forcing most of its forty thousand residents to flee across the border to Turkey.#$In October, 2014, I watched from a nearby hill in Turkey as ISIS pounded Kobani with thundering artillery.#$ISISs black-and-white flag billowed on the horizon.#$
","
","Kobani proved to be a turning point for Washington.#$The Obama Administration expanded its intervention, from Iraq into Syria, with air strikes on ISIS forces in Kobani.#$Among the targets was Mazloums home.#$ISIS had seized it as an operations center.#$Mazloum approved the U.S. decision to destroy it, a senior U.S. official told me.#$The marriage of American air power and a tough local militia on the grounddubbed the hammer and anvil strategysucceeded.#$After a gruelling five-month battle, ISIS experienced its first defeat.#$In January, 2015, Mazloums militia hoisted its yellow banner atop Kobanis highest hill; fighters, both male and female, danced by firelight amid the citys bombed-out ruins.#$Kobani, where more than thirteen hundred Kurds perished, still ranks as the longest, deadliest, and most vicious battle with the Islamic State.#$It later became a base used by U.S. Special Forces and a small team of U.S. diplomats.#$
"
8,"
","The partnership deepened in the second phase.#$In April, 2015, the U.S. approached Mazloum about leading the war against ISIS beyond Syrias Kurdish regions.#$The Obama Administration was on the verge of abandoning a separate Pentagon program to train fifteen thousand Syrians in Turkey and Jordan.#$Five hundred million dollars had been allocated for the program; ultimately, fifty million dollars were spent, and it produced only a handful of trained soldiers.#$I wasnt happy with the early efforts, Secretary of Defense Ash Carter admitted at a news conference in Washington at the time.#$So we have devised a number of different approaches. They relied heavily on Mazloums militia.#$
","
"
9,"In a grinding campaign that often involved house-to-house fighting and claimed the lives of thousands of S.D.F.#$members, the group slowly seized territoryTal Abyad, al-Hawl, the Tishreen Dam, al-Shaddadi, and Manbijthat cut off land routes for foreign fighters and supplies coming through Turkey.#$Thousands of U.S. and coalition air strikes demolished ISIS offices, barracks, convoys, checkpoints, and arms depots.#$They picked off ISIS leaders, including Abu Muhammad al-Adnani, the social-media mastermind of ISIS, and Jihadi John, the executioner with a British accent who beheaded, on video, the Americans journalists James Foley and Steven Sotloff, three Western aid workers, and two Japanese reporters.#$The Obama Administration also quietly deployed hundreds of additional U.S. Special Forces to Syria.#$Mazloum, who had kept a low profile after multiple assassination attempts against him, began hosting top Pentagon brass and congressional delegations, including Senators John McCain and Lindsey Graham, who travelled to liberated corners of Syria.#$
","
","As S.D.F.#$capabilities expanded, the U.S. asked Mazloum to take on the biggest challenge yet: liberating Raqqa, the ISIS capital, a city with a quarter of a million residents.#$Implicit in the U.S. request was an awareness that the fighting was likely to be long, intense, and costly in human life.#$A senior U.S. official who worked with Mazloum remembered the conversation.#$Whatever we laid out to him, what we wanted the campaign to be, he looked at me and said, I trust your judgment.#$We would probably, for other reasons, do this a little bit differently.#$I understand your logic, and I agree.  Mazloum noted, however, that he would need more sophisticated arms for urban warfare.#$This time, he said, the Kurdish Y.P.G.#$fighters in the S.D.F.#$would have to receive U.S. arms, as well.#$
"
