,sentence,sentence_id
0,"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.","(1, 100)"
1,"Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.","(1, 101)"
2,Television closeups showed some people in tears.,"(1, 102)"
3,"The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.","(1, 103)"
4,Both cities had been controlled by the A.K.P.,"(1, 104)"
5,"or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.","(1, 105)"
6,The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.,"(1, 106)"
7,,"(1, 107)"
8,"For the elections, Erdogan had aligned the A.K.P.","(1, 200)"
9,"with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)","(1, 201)"
10,and its candidates.,"(1, 202)"
11,"The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.","(1, 203)"
12,"In Ankara, the C.H.P.","(1, 204)"
13,"won by a larger margin, 50.93 per cent to 47.12 per cent.","(1, 205)"
14,(The C.H.P.,"(1, 206)"
15,"also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)","(1, 207)"
16,"As of Monday morning, the A.K.P.","(1, 208)"
17,controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.,"(1, 209)"
18,,"(1, 210)"
19,"In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.","(1, 300)"
20,"Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.","(1, 301)"
21,"On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.","(1, 302)"
22," Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.","(1, 303)"
23," During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.","(1, 304)"
24,,"(1, 305)"
25,"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.","(1, 100)"
26,"Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.","(1, 101)"
27,Television closeups showed some people in tears.,"(1, 102)"
28,"The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.","(1, 103)"
29,Both cities had been controlled by the A.K.P.,"(1, 104)"
30,"or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.","(1, 105)"
31,The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.,"(1, 106)"
32,,"(1, 107)"
33,"For the elections, Erdogan had aligned the A.K.P.","(1, 200)"
34,"with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)","(1, 201)"
35,and its candidates.,"(1, 202)"
36,"The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.","(1, 203)"
37,"In Ankara, the C.H.P.","(1, 204)"
38,"won by a larger margin, 50.93 per cent to 47.12 per cent.","(1, 205)"
39,(The C.H.P.,"(1, 206)"
40,"also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)","(1, 207)"
41,"As of Monday morning, the A.K.P.","(1, 208)"
42,controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.,"(1, 209)"
43,,"(1, 210)"
44,"In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.","(1, 300)"
45,"Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.","(1, 301)"
46,"On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.","(1, 302)"
47," Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.","(1, 303)"
48," During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.","(1, 304)"
49,,"(1, 305)"
50,"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.","(1, 100)"
51,"Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.","(1, 101)"
52,Television closeups showed some people in tears.,"(1, 102)"
53,"The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.","(1, 103)"
54,Both cities had been controlled by the A.K.P.,"(1, 104)"
55,"or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.","(1, 105)"
56,The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.,"(1, 106)"
57,,"(1, 107)"
58,"For the elections, Erdogan had aligned the A.K.P.","(1, 200)"
59,"with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)","(1, 201)"
60,and its candidates.,"(1, 202)"
61,"The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.","(1, 203)"
62,"In Ankara, the C.H.P.","(1, 204)"
63,"won by a larger margin, 50.93 per cent to 47.12 per cent.","(1, 205)"
64,(The C.H.P.,"(1, 206)"
65,"also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)","(1, 207)"
66,"As of Monday morning, the A.K.P.","(1, 208)"
67,controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.,"(1, 209)"
68,,"(1, 210)"
69,"In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.","(1, 300)"
70,"Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.","(1, 301)"
71,"On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.","(1, 302)"
72," Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.","(1, 303)"
73," During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.","(1, 304)"
74,,"(1, 305)"
75,"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.","(1, 100)"
76,"Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.","(1, 101)"
77,Television closeups showed some people in tears.,"(1, 102)"
78,"The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.","(1, 103)"
79,Both cities had been controlled by the A.K.P.,"(1, 104)"
80,"or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.","(1, 105)"
81,The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.,"(1, 106)"
82,,"(1, 107)"
83,"For the elections, Erdogan had aligned the A.K.P.","(1, 200)"
84,"with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)","(1, 201)"
85,and its candidates.,"(1, 202)"
86,"The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.","(1, 203)"
87,"In Ankara, the C.H.P.","(1, 204)"
88,"won by a larger margin, 50.93 per cent to 47.12 per cent.","(1, 205)"
89,(The C.H.P.,"(1, 206)"
90,"also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)","(1, 207)"
91,"As of Monday morning, the A.K.P.","(1, 208)"
92,controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.,"(1, 209)"
93,,"(1, 210)"
94,"In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.","(1, 300)"
