HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.1.on,Answer.10.on,Answer.11.on,Answer.12.on,Answer.13.on,Answer.14.on,Answer.15.on,Answer.16.on,Answer.17.on,Answer.18.on,Answer.19.on,Answer.2.on,Answer.20.on,Answer.21.on,Answer.22.on,Answer.23.on,Answer.24.on,Answer.25.on,Answer.26.on,Answer.27.on,Answer.28.on,Answer.3.on,Answer.4.on,Answer.5.on,Answer.6.on,Answer.7.on,Answer.8.on,Answer.9.on,Answer.feedback,Approve,Reject
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3570Y55XZQ7Z5AZCHQDG4I9ZX4AGYA,A3CHZTDYHQVADE,Approved,Tue Apr 23 19:28:31 PDT 2019,Tue Apr 23 19:31:08 PDT 2019,Fri Apr 26 19:31:08 PDT 2019,2019-04-27 02:32:07 UTC,,,157,100% (6/6),100% (6/6),100% (6/6),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,37UEWGM5HUWT4UXNLC0JPZCWSSJ1R0,APICU54PD3JZF,Approved,Wed Apr 24 18:25:45 PDT 2019,Wed Apr 24 18:27:59 PDT 2019,Sat Apr 27 18:27:59 PDT 2019,,,,134,100% (12/12),100% (12/12),100% (12/12),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3IOEN3P9S870IBZ3TOXLE4L0W4N16I,A2Y5XC6F1BYXS3,Approved,Fri Apr 19 19:45:21 PDT 2019,Fri Apr 19 19:46:31 PDT 2019,Mon Apr 22 19:46:31 PDT 2019,2019-04-23 02:47:07 UTC,,,70,100% (2/2),100% (2/2),0% (0/0),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,This was great! Easy to click on boxes!,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3P59JYT76M8D9USB855SUXNJ8JTT2L,A2N74CHUQ5T60G,Approved,Wed Apr 24 14:49:27 PDT 2019,Wed Apr 24 14:49:44 PDT 2019,Sat Apr 27 14:49:44 PDT 2019,,,,17,100% (12/12),100% (12/12),100% (12/12),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,pretty clear,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3QRYMNZ7FZ59YGH4UO3CMLQHJDDTN3,A2DIGKVLJWN955,Approved,Tue Apr 23 14:37:02 PDT 2019,Tue Apr 23 14:40:52 PDT 2019,Fri Apr 26 14:40:52 PDT 2019,2019-04-26 21:41:07 UTC,,,230,100% (14/14),100% (14/14),100% (14/14),TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,n/a,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3SB5N7Y3O4S28F3R9I27CQFFLRX0GV,APX5J4BSY8X98,Approved,Tue Apr 23 22:37:27 PDT 2019,Tue Apr 23 22:41:56 PDT 2019,Fri Apr 26 22:41:56 PDT 2019,,,,269,100% (15/15),100% (15/15),100% (15/15),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,reward of 0 cents is sad :(,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3UN61F00HXDSSCY6MZ2VSPPD47GR5Y,A2AR3VBIMNRRJJ,Approved,Tue Apr 23 14:04:38 PDT 2019,Tue Apr 23 14:06:03 PDT 2019,Fri Apr 26 14:06:03 PDT 2019,2019-04-26 21:06:07 UTC,,,85,100% (14/14),100% (14/14),100% (14/14),TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,i did this one already before -- did you mean to release two of these?,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3WMINLGALCRLSGL4ZY3HB56DWLPCAW,A3O8K08MXAW5C6,Approved,Thu Apr 25 08:12:24 PDT 2019,Thu Apr 25 08:15:21 PDT 2019,Sun Apr 28 08:15:21 PDT 2019,,,,177,100% (6/6),100% (6/6),100% (6/6),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The circles for 21 and 22 are so jank :c,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3XIQGXAUMDWRCCY1JRNKFRPXWV57X0,A23441R746K5OU,Approved,Wed Apr 24 22:14:12 PDT 2019,Wed Apr 24 22:18:54 PDT 2019,Sat Apr 27 22:18:54 PDT 2019,,,,282,100% (10/10),100% (10/10),100% (10/10),TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,This is kind of fun,,
3L21G7IH47KZEBBF95NB8B9CP49Y1B,3ES1UQ6TFYAW0SZOC4MZJAOA4AILM9,tldr_1,"This projects aims to use crowdsourcing to summarize long, verbose texts. You will help us by selecting the most important sentences from a short block of text.","passage, summary, sentences",$0.00 ,Fri Apr 19 19:03:39 PDT 2019,10,BatchId:234886;OriginalHitTemplateId:921587254;,3600,259200,Fri Apr 26 19:03:39 PDT 2019,,,3Y5140Z9DY4JSND6GRH0C3T38C9IPK,A28RPWZS3IPTRM,Approved,Thu Apr 25 09:05:45 PDT 2019,Thu Apr 25 09:07:54 PDT 2019,Sun Apr 28 09:07:54 PDT 2019,,,,129,100% (3/3),100% (3/3),100% (3/3),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Instructions were very clear.,,
