,agreement,article_id,max_votes,sentence_order,votes
0,87.5,tldr,8,29,7
1,0.0,tldr,8,38,0
2,37.5,tldr,8,39,3
3,62.5,tldr,8,40,5
4,12.5,tldr,8,41,1
5,37.5,tldr,8,42,3
6,12.5,tldr,8,43,1
7,25.0,tldr,8,44,2
8,0.0,tldr,8,45,0
9,12.5,tldr,8,46,1
10,25.0,tldr,8,47,2
11,50.0,tldr,8,30,4
12,12.5,tldr,8,48,1
13,12.5,tldr,8,49,1
14,37.5,tldr,8,50,3
15,0.0,tldr,8,51,0
16,0.0,tldr,8,52,0
17,0.0,tldr,8,53,0
18,0.0,tldr,8,54,0
19,0.0,tldr,8,55,0
20,0.0,tldr,8,56,0
21,25.0,tldr,8,31,2
22,50.0,tldr,8,32,4
23,75.0,tldr,8,33,6
24,25.0,tldr,8,34,2
25,25.0,tldr,8,35,2
26,25.0,tldr,8,36,2
27,12.5,tldr,8,37,1
28,25.0,tldr,8,57,2
29,0.0,tldr,8,66,0
30,75.0,tldr,8,67,6
31,25.0,tldr,8,68,2
32,0.0,tldr,8,69,0
33,12.5,tldr,8,70,1
34,25.0,tldr,8,71,2
35,12.5,tldr,8,72,1
36,25.0,tldr,8,73,2
37,62.5,tldr,8,74,5
38,37.5,tldr,8,75,3
39,0.0,tldr,8,58,0
40,25.0,tldr,8,76,2
41,0.0,tldr,8,77,0
42,0.0,tldr,8,78,0
43,0.0,tldr,8,79,0
44,0.0,tldr,8,80,0
45,0.0,tldr,8,81,0
46,0.0,tldr,8,82,0
47,0.0,tldr,8,83,0
48,0.0,tldr,8,84,0
49,0.0,tldr,8,59,0
50,12.5,tldr,8,60,1
51,0.0,tldr,8,61,0
52,12.5,tldr,8,62,1
53,87.5,tldr,8,63,7
54,12.5,tldr,8,64,1
55,12.5,tldr,8,65,1
56,75.0,tldr,8,85,6
57,25.0,tldr,8,94,2
58,37.5,tldr,8,95,3
59,37.5,tldr,8,96,3
60,12.5,tldr,8,97,1
61,12.5,tldr,8,98,1
62,50.0,tldr,8,99,4
63,0.0,tldr,8,100,0
64,37.5,tldr,8,101,3
65,12.5,tldr,8,102,1
66,0.0,tldr,8,103,0
67,12.5,tldr,8,86,1
68,0.0,tldr,8,104,0
69,0.0,tldr,8,105,0
70,12.5,tldr,8,106,1
71,12.5,tldr,8,107,1
72,12.5,tldr,8,108,1
73,25.0,tldr,8,109,2
74,0.0,tldr,8,110,0
75,0.0,tldr,8,111,0
76,0.0,tldr,8,112,0
77,75.0,tldr,8,87,6
78,50.0,tldr,8,88,4
79,62.5,tldr,8,89,5
80,0.0,tldr,8,90,0
81,25.0,tldr,8,91,2
82,37.5,tldr,8,92,3
83,37.5,tldr,8,93,3
84,75.0,tldr,8,113,6
85,62.5,tldr,8,122,5
86,37.5,tldr,8,123,3
87,0.0,tldr,8,124,0
88,12.5,tldr,8,125,1
89,0.0,tldr,8,126,0
90,37.5,tldr,8,127,3
91,0.0,tldr,8,128,0
92,0.0,tldr,8,129,0
93,0.0,tldr,8,130,0
94,0.0,tldr,8,131,0
95,75.0,tldr,8,114,6
96,0.0,tldr,8,132,0
97,0.0,tldr,8,133,0
98,0.0,tldr,8,134,0
99,0.0,tldr,8,135,0
100,0.0,tldr,8,136,0
101,0.0,tldr,8,137,0
102,0.0,tldr,8,138,0
103,0.0,tldr,8,139,0
104,0.0,tldr,8,140,0
105,37.5,tldr,8,115,3
106,62.5,tldr,8,116,5
107,25.0,tldr,8,117,2
108,37.5,tldr,8,118,3
109,62.5,tldr,8,119,5
110,0.0,tldr,8,120,0
111,12.5,tldr,8,121,1
112,50.0,tldr,8,141,4
113,12.5,tldr,8,150,1
114,12.5,tldr,8,151,1
115,37.5,tldr,8,152,3
116,50.0,tldr,8,153,4
117,62.5,tldr,8,154,5
118,0.0,tldr,8,155,0
119,62.5,tldr,8,156,5
120,0.0,tldr,8,157,0
121,0.0,tldr,8,158,0
122,0.0,tldr,8,159,0
123,87.5,tldr,8,142,7
124,0.0,tldr,8,160,0
125,0.0,tldr,8,161,0
126,0.0,tldr,8,162,0
127,0.0,tldr,8,163,0
128,0.0,tldr,8,164,0
129,0.0,tldr,8,165,0
130,0.0,tldr,8,166,0
131,0.0,tldr,8,167,0
132,0.0,tldr,8,168,0
133,0.0,tldr,8,143,0
134,0.0,tldr,8,144,0
135,0.0,tldr,8,145,0
136,87.5,tldr,8,146,7
137,75.0,tldr,8,147,6
