,agreement,article_id,max_votes,sentence_order,votes
0,50.0,1,4,100,2
1,50.0,1,4,101,2
2,25.0,1,4,102,1
3,25.0,1,4,103,1
4,25.0,1,4,104,1
5,25.0,1,4,105,1
6,25.0,1,4,106,1
7,0.0,1,4,107,0
8,0.0,1,4,200,0
9,50.0,1,4,201,2
10,25.0,1,4,202,1
11,50.0,1,4,203,2
12,25.0,1,4,204,1
13,0.0,1,4,205,0
14,0.0,1,4,206,0
15,0.0,1,4,207,0
16,25.0,1,4,208,1
17,50.0,1,4,209,2
18,0.0,1,4,210,0
19,25.0,1,4,300,1
20,50.0,1,4,301,2
21,25.0,1,4,302,1
22,50.0,1,4,303,2
23,50.0,1,4,304,2
24,0.0,1,4,305,0
25,25.0,1,4,400,1
26,50.0,1,4,401,2
27,25.0,1,4,402,1
28,25.0,1,4,403,1
29,25.0,1,4,404,1
30,75.0,1,4,405,3
31,0.0,1,4,406,0
32,25.0,1,4,500,1
33,50.0,1,4,501,2
34,0.0,1,4,502,0
35,50.0,1,4,503,2
36,25.0,1,4,504,1
37,0.0,1,4,505,0
38,50.0,1,4,506,2
39,0.0,1,4,507,0
40,100.0,1,4,600,4
41,25.0,1,4,601,1
42,50.0,1,4,602,2
43,50.0,1,4,603,2
44,25.0,1,4,604,1
45,0.0,1,4,605,0
46,25.0,1,4,700,1
47,25.0,1,4,701,1
48,25.0,1,4,702,1
49,0.0,1,4,703,0
50,0.0,1,4,704,0
51,100.0,1,4,705,4
52,25.0,1,4,706,1
53,25.0,1,4,707,1
54,0.0,1,4,708,0
55,50.0,1,4,800,2
56,100.0,1,4,801,4
57,25.0,1,4,802,1
58,25.0,1,4,803,1
59,0.0,1,4,804,0
60,0.0,1,4,900,0
61,75.0,1,4,901,3
62,50.0,1,4,902,2
63,25.0,1,4,903,1
64,0.0,1,4,904,0
65,0.0,1,4,905,0
66,50.0,1,4,906,2
67,0.0,1,4,907,0
68,0.0,1,4,908,0
69,0.0,1,4,909,0
70,0.0,1,4,910,0
71,50.0,1,4,911,2
72,0.0,1,4,912,0
73,80.0,2,5,100,4
74,20.0,2,5,101,1
75,40.0,2,5,102,2
76,0.0,2,5,103,0
77,20.0,2,5,200,1
78,100.0,2,5,201,5
79,0.0,2,5,202,0
80,80.0,2,5,203,4
81,20.0,2,5,204,1
82,0.0,2,5,205,0
83,80.0,2,5,300,4
84,60.0,2,5,301,3
85,0.0,2,5,302,0
86,40.0,2,5,303,2
87,0.0,2,5,304,0
88,20.0,2,5,400,1
89,80.0,2,5,401,4
90,40.0,2,5,402,2
91,20.0,2,5,403,1
92,0.0,2,5,404,0
93,40.0,2,5,500,2
94,40.0,2,5,501,2
95,60.0,2,5,502,3
96,0.0,2,5,503,0
97,40.0,2,5,600,2
98,20.0,2,5,601,1
99,0.0,2,5,602,0
