HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_1,Input.paragraph_2,Input.paragraph_3,Input.article,Input.passage,Answer.deletion_mask_1,Answer.deletion_mask_2,Answer.deletion_mask_3,Approve,Reject
3U18MJKL1UAPPFHZI03512ZNNFUNC0,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3CPLWGV3MPNQE18QWIZFNWU4D66N93,A2J15HW4AA2UEZ,Approved,Sat May 04 21:33:29 PDT 2019,Sat May 04 21:36:35 PDT 2019,Sat May 04 22:36:35 PDT 2019,,,,186,100% (82/82),100% (82/82),100% (82/82),"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.#$Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.#$Television closeups showed some people in tears.#$The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.#$Both cities had been controlled by the A.K.P.#$or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.#$The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.#$","For the elections, Erdogan had aligned the A.K.P.#$with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)#$and its candidates.#$The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.#$In Ankara, the C.H.P.#$won by a larger margin, 50.93 per cent to 47.12 per cent.#$(The C.H.P.#$also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)#$As of Monday morning, the A.K.P.#$controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.#$","In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.#$Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.#$On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.#$ Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.#$ During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.#$",1,1,1000010,110,,,
3U18MJKL1UAPPFHZI03512ZNNFUNC0,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3HHRAGRYX9T8WM82XXZS2LU93GQO9Y,A2PYZDFLMB8RN6,Approved,Sat May 04 18:34:25 PDT 2019,Sat May 04 18:34:45 PDT 2019,Sat May 04 19:34:45 PDT 2019,,,,20,100% (58/58),100% (58/58),100% (58/58),"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.#$Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.#$Television closeups showed some people in tears.#$The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.#$Both cities had been controlled by the A.K.P.#$or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.#$The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.#$","For the elections, Erdogan had aligned the A.K.P.#$with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)#$and its candidates.#$The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.#$In Ankara, the C.H.P.#$won by a larger margin, 50.93 per cent to 47.12 per cent.#$(The C.H.P.#$also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)#$As of Monday morning, the A.K.P.#$controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.#$","In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.#$Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.#$On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.#$ Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.#$ During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.#$",1,1,11110000,1111000010,111110,,
3U18MJKL1UAPPFHZI03512ZNNFUNC0,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3SUWZRL0MZ1Z2CTF5CTKDZ9T9FVE6W,AIN7LSGBTD8HF,Approved,Sun May 05 09:43:24 PDT 2019,Sun May 05 09:45:23 PDT 2019,Sun May 05 10:45:23 PDT 2019,,,,119,100% (80/80),100% (80/80),100% (80/80),"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.#$Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.#$Television closeups showed some people in tears.#$The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.#$Both cities had been controlled by the A.K.P.#$or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.#$The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.#$","For the elections, Erdogan had aligned the A.K.P.#$with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)#$and its candidates.#$The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.#$In Ankara, the C.H.P.#$won by a larger margin, 50.93 per cent to 47.12 per cent.#$(The C.H.P.#$also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)#$As of Monday morning, the A.K.P.#$controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.#$","In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.#$Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.#$On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.#$ Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.#$ During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.#$",1,1,10001100,1010000000,10110,,
3DWGDA5POFSIAHGA4U0CUNA95L5V1Z,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,308XBLVESJSUHSFFN9USNMU425FBRA,A1P06VR3V0T998,Approved,Sun May 05 07:47:37 PDT 2019,Sun May 05 07:49:00 PDT 2019,Sun May 05 08:49:00 PDT 2019,,,,83,100% (10/10),100% (10/10),100% (10/10),"Erdogans sharp rhetoric appeared to be an effort to distract voters from Turkeys spiralling economic crisis, one that opposition members say is fuelled and perpetuated by Erdogans politics.#$In August, 2018, the value of the Turkish lira plunged, losing twenty-eight per cent of its value against the dollar.#$Though the lira has rebounded slightly since then, the country officially entered its first recession in a decade in March.#$Inflation is at twenty per cent, the price of produce has skyrocketed, and the federal minimum wage has fallen by roughly ten per cent since this time last year, to three hundred and sixty dollars a month.#$To force down prices, Erdogan installed government-subsidized vegetable stalls in city squares around the country.#$He also called for Turkeys banking regulator to investigate a JPMorgan plot that he claimed was causing volatility in the value of the lira.#$","Near the end of the campaign, Erdogan seemed to grow increasingly desperate.#$Five days before the polls, he pledged to turn the Hagia Sophiaa Greek Orthodox cathedral turned Ottoman mosque turned museum, built by the Byzantine emperor Justinian I, in 537back into a mosque, a politically radical move that took even his supporters by surprise.#$In an attempt to attract younger voters, the A.K.P.#$built a Web site, GeleceginiSec.com (ChooseYourFuture.com), inspired by Black Mirror: Bandersnatch, the latest interactive episode of the Netflix series.#$It allowed viewers to control the decisions of a young Turkish software coder on Election Day.#$His choice is to vote for the A.K.P.#$or for the Otherswhich, according to the video, would spark mayhem in Turkeys streets and an economic collapse.#$","After the preliminary results came in, Erdogan was quick to point out that, despite losing in the countrys three biggest cities, his party won the larger share of the general vote: 44.32 per cent, compared to 30.11 per cent for the C.H.P.#$As President, he still has the mandate to govern Turkey for another four years, until the next scheduled federal elections.#$Yet, on the campaign trail, he had often repeated the mantra Whoever wins Istanbul wins Turkey. Soner Cagaptay, the director of the Turkish Research Program at the Washington Institute for Near East Policy and the author of The New Sultan: Erdogan and the Crisis of Modern Turkey, told me that the loss of the countrys largest city was potent.#$Istanbul is where Erdogans political career started, and it made him a rock star, in political terms, he said.#$Losing that city is a big blow to his political brand.#$",1,2,,,101010,,
3DWGDA5POFSIAHGA4U0CUNA95L5V1Z,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3FIJLY1B6VSZIWBGFJCZ1HLAGJHFPY,A2PYZDFLMB8RN6,Approved,Sat May 04 18:28:38 PDT 2019,Sat May 04 18:28:53 PDT 2019,Sat May 04 19:28:53 PDT 2019,,,,15,100% (58/58),100% (58/58),100% (58/58),"Erdogans sharp rhetoric appeared to be an effort to distract voters from Turkeys spiralling economic crisis, one that opposition members say is fuelled and perpetuated by Erdogans politics.#$In August, 2018, the value of the Turkish lira plunged, losing twenty-eight per cent of its value against the dollar.#$Though the lira has rebounded slightly since then, the country officially entered its first recession in a decade in March.#$Inflation is at twenty per cent, the price of produce has skyrocketed, and the federal minimum wage has fallen by roughly ten per cent since this time last year, to three hundred and sixty dollars a month.#$To force down prices, Erdogan installed government-subsidized vegetable stalls in city squares around the country.#$He also called for Turkeys banking regulator to investigate a JPMorgan plot that he claimed was causing volatility in the value of the lira.#$","Near the end of the campaign, Erdogan seemed to grow increasingly desperate.#$Five days before the polls, he pledged to turn the Hagia Sophiaa Greek Orthodox cathedral turned Ottoman mosque turned museum, built by the Byzantine emperor Justinian I, in 537back into a mosque, a politically radical move that took even his supporters by surprise.#$In an attempt to attract younger voters, the A.K.P.#$built a Web site, GeleceginiSec.com (ChooseYourFuture.com), inspired by Black Mirror: Bandersnatch, the latest interactive episode of the Netflix series.#$It allowed viewers to control the decisions of a young Turkish software coder on Election Day.#$His choice is to vote for the A.K.P.#$or for the Otherswhich, according to the video, would spark mayhem in Turkeys streets and an economic collapse.#$","After the preliminary results came in, Erdogan was quick to point out that, despite losing in the countrys three biggest cities, his party won the larger share of the general vote: 44.32 per cent, compared to 30.11 per cent for the C.H.P.#$As President, he still has the mandate to govern Turkey for another four years, until the next scheduled federal elections.#$Yet, on the campaign trail, he had often repeated the mantra Whoever wins Istanbul wins Turkey. Soner Cagaptay, the director of the Turkish Research Program at the Washington Institute for Near East Policy and the author of The New Sultan: Erdogan and the Crisis of Modern Turkey, told me that the loss of the countrys largest city was potent.#$Istanbul is where Erdogans political career started, and it made him a rock star, in political terms, he said.#$Losing that city is a big blow to his political brand.#$",1,2,1111010,11011010,111100,,
3DWGDA5POFSIAHGA4U0CUNA95L5V1Z,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3IXQG4FA2UMODSJTTSU6W1UAWJV9B7,AIN7LSGBTD8HF,Approved,Sun May 05 09:59:49 PDT 2019,Sun May 05 10:01:03 PDT 2019,Sun May 05 11:01:03 PDT 2019,,,,74,100% (80/80),100% (80/80),100% (80/80),"Erdogans sharp rhetoric appeared to be an effort to distract voters from Turkeys spiralling economic crisis, one that opposition members say is fuelled and perpetuated by Erdogans politics.#$In August, 2018, the value of the Turkish lira plunged, losing twenty-eight per cent of its value against the dollar.#$Though the lira has rebounded slightly since then, the country officially entered its first recession in a decade in March.#$Inflation is at twenty per cent, the price of produce has skyrocketed, and the federal minimum wage has fallen by roughly ten per cent since this time last year, to three hundred and sixty dollars a month.#$To force down prices, Erdogan installed government-subsidized vegetable stalls in city squares around the country.#$He also called for Turkeys banking regulator to investigate a JPMorgan plot that he claimed was causing volatility in the value of the lira.#$","Near the end of the campaign, Erdogan seemed to grow increasingly desperate.#$Five days before the polls, he pledged to turn the Hagia Sophiaa Greek Orthodox cathedral turned Ottoman mosque turned museum, built by the Byzantine emperor Justinian I, in 537back into a mosque, a politically radical move that took even his supporters by surprise.#$In an attempt to attract younger voters, the A.K.P.#$built a Web site, GeleceginiSec.com (ChooseYourFuture.com), inspired by Black Mirror: Bandersnatch, the latest interactive episode of the Netflix series.#$It allowed viewers to control the decisions of a young Turkish software coder on Election Day.#$His choice is to vote for the A.K.P.#$or for the Otherswhich, according to the video, would spark mayhem in Turkeys streets and an economic collapse.#$","After the preliminary results came in, Erdogan was quick to point out that, despite losing in the countrys three biggest cities, his party won the larger share of the general vote: 44.32 per cent, compared to 30.11 per cent for the C.H.P.#$As President, he still has the mandate to govern Turkey for another four years, until the next scheduled federal elections.#$Yet, on the campaign trail, he had often repeated the mantra Whoever wins Istanbul wins Turkey. Soner Cagaptay, the director of the Turkish Research Program at the Washington Institute for Near East Policy and the author of The New Sultan: Erdogan and the Crisis of Modern Turkey, told me that the loss of the countrys largest city was potent.#$Istanbul is where Erdogans political career started, and it made him a rock star, in political terms, he said.#$Losing that city is a big blow to his political brand.#$",1,2,100110,1010000,100100,,
3DWGDA5POFSIAHGA4U0CUNA95L5V1Z,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3SUWZRL0MZ1Z2CTF5CTKDZ9T9DY6EN,A2J15HW4AA2UEZ,Approved,Sat May 04 21:42:24 PDT 2019,Sat May 04 21:43:30 PDT 2019,Sat May 04 22:43:30 PDT 2019,,,,66,100% (82/82),100% (82/82),100% (82/82),"Erdogans sharp rhetoric appeared to be an effort to distract voters from Turkeys spiralling economic crisis, one that opposition members say is fuelled and perpetuated by Erdogans politics.#$In August, 2018, the value of the Turkish lira plunged, losing twenty-eight per cent of its value against the dollar.#$Though the lira has rebounded slightly since then, the country officially entered its first recession in a decade in March.#$Inflation is at twenty per cent, the price of produce has skyrocketed, and the federal minimum wage has fallen by roughly ten per cent since this time last year, to three hundred and sixty dollars a month.#$To force down prices, Erdogan installed government-subsidized vegetable stalls in city squares around the country.#$He also called for Turkeys banking regulator to investigate a JPMorgan plot that he claimed was causing volatility in the value of the lira.#$","Near the end of the campaign, Erdogan seemed to grow increasingly desperate.#$Five days before the polls, he pledged to turn the Hagia Sophiaa Greek Orthodox cathedral turned Ottoman mosque turned museum, built by the Byzantine emperor Justinian I, in 537back into a mosque, a politically radical move that took even his supporters by surprise.#$In an attempt to attract younger voters, the A.K.P.#$built a Web site, GeleceginiSec.com (ChooseYourFuture.com), inspired by Black Mirror: Bandersnatch, the latest interactive episode of the Netflix series.#$It allowed viewers to control the decisions of a young Turkish software coder on Election Day.#$His choice is to vote for the A.K.P.#$or for the Otherswhich, according to the video, would spark mayhem in Turkeys streets and an economic collapse.#$","After the preliminary results came in, Erdogan was quick to point out that, despite losing in the countrys three biggest cities, his party won the larger share of the general vote: 44.32 per cent, compared to 30.11 per cent for the C.H.P.#$As President, he still has the mandate to govern Turkey for another four years, until the next scheduled federal elections.#$Yet, on the campaign trail, he had often repeated the mantra Whoever wins Istanbul wins Turkey. Soner Cagaptay, the director of the Turkish Research Program at the Washington Institute for Near East Policy and the author of The New Sultan: Erdogan and the Crisis of Modern Turkey, told me that the loss of the countrys largest city was potent.#$Istanbul is where Erdogans political career started, and it made him a rock star, in political terms, he said.#$Losing that city is a big blow to his political brand.#$",1,2,10,10,100000,,
3ZG552ORAMSPZ2Y6NY0QZ6KEXRJV2G,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3JAOYWH7VJS0Q155K5J0A4QF8CN9L6,A1OST3BY4TI9R5,Approved,Sun May 05 00:41:58 PDT 2019,Sun May 05 00:43:33 PDT 2019,Sun May 05 01:43:33 PDT 2019,,,,95,100% (2/2),100% (2/2),100% (2/2),"Failing to secure Istanbul has financial consequences for Erdogans ruling party, too.#$In recent years, the city has served as a major source of A.K.P.#$patronage, generating large amounts of rent from construction, urban renovation, and zoning projects for businesses aligned with the Party, Cagaptay said.#$Under A.K.P.#$rule, government-owned housing has grown significantly.#$Between its founding, in 1984, and 2002, Turkeys public-housing-development agency produced a little more than forty-three thousand units; during the Erdogan era, between 2003 and 2015, it produced more than five hundred and fifty thousand.#$The ruling partys defeat in Istanbul means losing a significant source of rent to the opposition, Cagaptay saida major revenue source that has oiled the gears of the A.K.P.#$machine and Erdogans rise.#$","The results boosted the hopes of secular voters who have watched Erdogan win election after election and grow increasingly autocratic during his sixteen years in power.#$Since a 2016 coup attempt failed to remove him from office, Erdogan has centralized power; removed his perceived opponents in the bureaucracy, judiciary, military, and police; and jailed tens of thousands of people.#$Nazm Dikbas, an artist living in Istanbuls Beyoglu district, told me that he hoped the results would create a more democratic atmosphere.#$I am cautious about getting carried away, but I am hopeful, he said.#$","Erdogans party, though, is already beginning to fight the outcome.#$On Tuesday, the A.K.P.#$formally contested the Istanbul and Ankara results, alleging irregularities.#$But, even if the current results are corroborated by the final vote counts, which are expected on April 11th, at the earliest, some fear unrest during the transfer of power.#$Others are anxious about A.K.P.#$meddling.#$Erdogan will try to undermine local government, Cagaptay, the Washington-based Turkey expert, predicted.#$There will be a contentious relationship.#$.#$.#$.#$[He] may not be so willing to settle for a Turkish-style cohabitation between his rule and opposition-controlled cities.#$",1,3,1000,1000,110001000000,,
3ZG552ORAMSPZ2Y6NY0QZ6KEXRJV2G,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3K5TEWLKGWZWX7A223RJA6NKIZHVIX,A2PYZDFLMB8RN6,Approved,Sat May 04 19:42:49 PDT 2019,Sat May 04 19:43:02 PDT 2019,Sat May 04 20:43:02 PDT 2019,,,,13,100% (58/58),100% (58/58),100% (58/58),"Failing to secure Istanbul has financial consequences for Erdogans ruling party, too.#$In recent years, the city has served as a major source of A.K.P.#$patronage, generating large amounts of rent from construction, urban renovation, and zoning projects for businesses aligned with the Party, Cagaptay said.#$Under A.K.P.#$rule, government-owned housing has grown significantly.#$Between its founding, in 1984, and 2002, Turkeys public-housing-development agency produced a little more than forty-three thousand units; during the Erdogan era, between 2003 and 2015, it produced more than five hundred and fifty thousand.#$The ruling partys defeat in Istanbul means losing a significant source of rent to the opposition, Cagaptay saida major revenue source that has oiled the gears of the A.K.P.#$machine and Erdogans rise.#$","The results boosted the hopes of secular voters who have watched Erdogan win election after election and grow increasingly autocratic during his sixteen years in power.#$Since a 2016 coup attempt failed to remove him from office, Erdogan has centralized power; removed his perceived opponents in the bureaucracy, judiciary, military, and police; and jailed tens of thousands of people.#$Nazm Dikbas, an artist living in Istanbuls Beyoglu district, told me that he hoped the results would create a more democratic atmosphere.#$I am cautious about getting carried away, but I am hopeful, he said.#$","Erdogans party, though, is already beginning to fight the outcome.#$On Tuesday, the A.K.P.#$formally contested the Istanbul and Ankara results, alleging irregularities.#$But, even if the current results are corroborated by the final vote counts, which are expected on April 11th, at the earliest, some fear unrest during the transfer of power.#$Others are anxious about A.K.P.#$meddling.#$Erdogan will try to undermine local government, Cagaptay, the Washington-based Turkey expert, predicted.#$There will be a contentious relationship.#$.#$.#$.#$[He] may not be so willing to settle for a Turkish-style cohabitation between his rule and opposition-controlled cities.#$",1,3,11001000,11100,101000000010,,
3ZG552ORAMSPZ2Y6NY0QZ6KEXRJV2G,3ARIN4O78G5O4HZ15EMUOGHWX0HIFP,Summarize a passage,Select the most important sentences to create a summary of the given passage,"summary, summarize, text",$0.03 ,Sat May 04 18:24:50 PDT 2019,10,BatchId:3631114;OriginalHitTemplateId:928390828;,1800,3600,Mon May 06 18:24:50 PDT 2019,,,3LJ7UR74RI1PHV2EFN3O6OJORET4NP,A2J15HW4AA2UEZ,Approved,Sat May 04 21:39:09 PDT 2019,Sat May 04 21:39:49 PDT 2019,Sat May 04 22:39:49 PDT 2019,,,,40,100% (82/82),100% (82/82),100% (82/82),"Failing to secure Istanbul has financial consequences for Erdogans ruling party, too.#$In recent years, the city has served as a major source of A.K.P.#$patronage, generating large amounts of rent from construction, urban renovation, and zoning projects for businesses aligned with the Party, Cagaptay said.#$Under A.K.P.#$rule, government-owned housing has grown significantly.#$Between its founding, in 1984, and 2002, Turkeys public-housing-development agency produced a little more than forty-three thousand units; during the Erdogan era, between 2003 and 2015, it produced more than five hundred and fifty thousand.#$The ruling partys defeat in Istanbul means losing a significant source of rent to the opposition, Cagaptay saida major revenue source that has oiled the gears of the A.K.P.#$machine and Erdogans rise.#$","The results boosted the hopes of secular voters who have watched Erdogan win election after election and grow increasingly autocratic during his sixteen years in power.#$Since a 2016 coup attempt failed to remove him from office, Erdogan has centralized power; removed his perceived opponents in the bureaucracy, judiciary, military, and police; and jailed tens of thousands of people.#$Nazm Dikbas, an artist living in Istanbuls Beyoglu district, told me that he hoped the results would create a more democratic atmosphere.#$I am cautious about getting carried away, but I am hopeful, he said.#$","Erdogans party, though, is already beginning to fight the outcome.#$On Tuesday, the A.K.P.#$formally contested the Istanbul and Ankara results, alleging irregularities.#$But, even if the current results are corroborated by the final vote counts, which are expected on April 11th, at the earliest, some fear unrest during the transfer of power.#$Others are anxious about A.K.P.#$meddling.#$Erdogan will try to undermine local government, Cagaptay, the Washington-based Turkey expert, predicted.#$There will be a contentious relationship.#$.#$.#$.#$[He] may not be so willing to settle for a Turkish-style cohabitation between his rule and opposition-controlled cities.#$",1,3,100,10,10,,
