,sentence,sentence_id
0,"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.","(1, 100)"
1,"Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.","(1, 101)"
2,Television closeups showed some people in tears.,"(1, 102)"
3,"The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.","(1, 103)"
4,Both cities had been controlled by the A.K.P.,"(1, 104)"
5,"or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.","(1, 105)"
6,The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.,"(1, 106)"
7,,"(1, 107)"
8,"For the elections, Erdogan had aligned the A.K.P.","(1, 200)"
9,"with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)","(1, 201)"
10,and its candidates.,"(1, 202)"
11,"The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.","(1, 203)"
12,"In Ankara, the C.H.P.","(1, 204)"
13,"won by a larger margin, 50.93 per cent to 47.12 per cent.","(1, 205)"
14,(The C.H.P.,"(1, 206)"
15,"also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)","(1, 207)"
16,"As of Monday morning, the A.K.P.","(1, 208)"
17,controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.,"(1, 209)"
18,,"(1, 210)"
19,"In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.","(1, 300)"
20,"Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.","(1, 301)"
21,"On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.","(1, 302)"
22," Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.","(1, 303)"
23," During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.","(1, 304)"
24,,"(1, 305)"
25,"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.","(1, 100)"
26,"Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.","(1, 101)"
27,Television closeups showed some people in tears.,"(1, 102)"
28,"The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.","(1, 103)"
29,Both cities had been controlled by the A.K.P.,"(1, 104)"
30,"or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.","(1, 105)"
31,The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.,"(1, 106)"
32,,"(1, 107)"
33,"For the elections, Erdogan had aligned the A.K.P.","(1, 200)"
34,"with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)","(1, 201)"
35,and its candidates.,"(1, 202)"
36,"The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.","(1, 203)"
37,"In Ankara, the C.H.P.","(1, 204)"
38,"won by a larger margin, 50.93 per cent to 47.12 per cent.","(1, 205)"
39,(The C.H.P.,"(1, 206)"
40,"also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)","(1, 207)"
41,"As of Monday morning, the A.K.P.","(1, 208)"
42,controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.,"(1, 209)"
43,,"(1, 210)"
44,"In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.","(1, 300)"
45,"Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.","(1, 301)"
46,"On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.","(1, 302)"
47," Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.","(1, 303)"
48," During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.","(1, 304)"
49,,"(1, 305)"
50,"After the preliminary results of Turkeys municipal elections were announced, on Sunday night, President Recep Tayyip Erdogan stood on the terrace of his partys Ankara headquarters with a microphone and, in a sombre tone, launched into a campaign song long popular with his supporters.","(1, 100)"
51,"Ours is a love story, a bit like a black-and-white film, Erdogan sang, as members of the crowd in the streets below joined him.","(1, 101)"
52,Television closeups showed some people in tears.,"(1, 102)"
53,"The Turkish leader had just learned that his Justice and Development Party, or the A.K.P., had narrowly lost the mayoralty of Ankara, the countrys capital, and might lose Istanbul, Turkeys largest city, in local elections that were seen as a referendum on his leadership.","(1, 103)"
54,Both cities had been controlled by the A.K.P.,"(1, 104)"
55,"or its Islamist forebears since 1994, when Erdogan was first elected the mayor of Istanbul.","(1, 105)"
56,The strongman President had suffered one of the most serious electoral defeats in a quarter-century as the countrys dominant political figure.,"(1, 106)"
57,,"(1, 107)"
58,"For the elections, Erdogan had aligned the A.K.P.","(1, 200)"
59,"with the ultra-right-wing National Movement Party, with which it currently holds a parliamentary majority, against an opposition coalition led by the secularist Republican Peoples Party (C.H.P.)","(1, 201)"
60,and its candidates.,"(1, 202)"
61,"The state-run Anadolu news agency reported that, in Istanbul, the C.H.P.s Ekrem Imamoglu garnered 48.79 per cent of the vote, edging out the A.K.P.s Binali Yldrm, a former Prime Minister, by less than three-tenths of a percentage point.","(1, 203)"
62,"In Ankara, the C.H.P.","(1, 204)"
63,"won by a larger margin, 50.93 per cent to 47.12 per cent.","(1, 205)"
64,(The C.H.P.,"(1, 206)"
65,"also further secured its grip on Izmir, Turkeys third-largest city, which it has controlled for fifteen years.)","(1, 207)"
66,"As of Monday morning, the A.K.P.","(1, 208)"
67,controlled nine fewer cities than it had before the vote; it now holds the mayoralty in thirty-nine of Turkeys eighty-one municipalities.,"(1, 209)"
68,,"(1, 210)"
69,"In the fifty days leading up to the elections, Erdogan had campaigned intensively, holding a hundred and two rallies in fifty-nine citiesand adopted increasingly nationalist rhetoric.","(1, 300)"
70,"Invoking a conspiracy that Turkey faces existential threats to its existence and prosperity by foreign-backed enemies, he claimed that the elections concerned the countrys national security more than its municipal governance.","(1, 301)"
71,"On International Womens Day, March 8th, when thousands of participants demonstrated in Istanbul for womens rights, he declared them invaders and assured his supporters that the Turkish state can topple them with our police force and military.","(1, 302)"
72," Following the mass shooting in Christchurch, New Zealand, on March 15th, he showed fragments of the video taken by the terrorists helmet camera at rallies; he warned of the gunmans call for Christians to recapture Istanbul and vowed that attackers targeting Turkey would return home in caskets.","(1, 303)"
73," During the final week of the race, he announced that the military had conducted an air strike on a camp, in the Qandil mountains of northern Iraq, believed to belong to the Kurdistan Workers Party, or the P.K.K., a militant Kurdish separatist group that has been fighting the Turkish government for thirty-five years.","(1, 304)"
74,,"(1, 305)"
75,"Erdogans sharp rhetoric appeared to be an effort to distract voters from Turkeys spiralling economic crisis, one that opposition members say is fuelled and perpetuated by Erdogans politics.","(1, 400)"
76,"In August, 2018, the value of the Turkish lira plunged, losing twenty-eight per cent of its value against the dollar.","(1, 401)"
77,"Though the lira has rebounded slightly since then, the country officially entered its first recession in a decade in March.","(1, 402)"
78,"Inflation is at twenty per cent, the price of produce has skyrocketed, and the federal minimum wage has fallen by roughly ten per cent since this time last year, to three hundred and sixty dollars a month.","(1, 403)"
79,"To force down prices, Erdogan installed government-subsidized vegetable stalls in city squares around the country.","(1, 404)"
80,He also called for Turkeys banking regulator to investigate a JPMorgan plot that he claimed was causing volatility in the value of the lira.,"(1, 405)"
81,,"(1, 406)"
82,"Near the end of the campaign, Erdogan seemed to grow increasingly desperate.","(1, 500)"
83,"Five days before the polls, he pledged to turn the Hagia Sophiaa Greek Orthodox cathedral turned Ottoman mosque turned museum, built by the Byzantine emperor Justinian I, in 537back into a mosque, a politically radical move that took even his supporters by surprise.","(1, 501)"
84,"In an attempt to attract younger voters, the A.K.P.","(1, 502)"
85,"built a Web site, GeleceginiSec.com (ChooseYourFuture.com), inspired by Black Mirror: Bandersnatch, the latest interactive episode of the Netflix series.","(1, 503)"
86,It allowed viewers to control the decisions of a young Turkish software coder on Election Day.,"(1, 504)"
87,His choice is to vote for the A.K.P.,"(1, 505)"
88,"or for the Otherswhich, according to the video, would spark mayhem in Turkeys streets and an economic collapse.","(1, 506)"
89,,"(1, 507)"
90,"After the preliminary results came in, Erdogan was quick to point out that, despite losing in the countrys three biggest cities, his party won the larger share of the general vote: 44.32 per cent, compared to 30.11 per cent for the C.H.P.","(1, 600)"
91,"As President, he still has the mandate to govern Turkey for another four years, until the next scheduled federal elections.","(1, 601)"
