,0,1
0,Something,0
1,The Islamic State has finally fizzled.,1
2,"Its caliphate, daringly declared from the pulpit of the Great Mosque of al-Nuri, in Iraq, in 2014, had been the size of Britain, ruled eight million people, lured recruits from eighty countries, and threatened to redraw the map of the Middle East.",2
3,"It ended, in the Syrian farming hamlet of Baghouz, as little more than a junk yard about the size of Central Park, filled with burnt-out vehicles and dilapidated tents.",3
4,"Tens of thousands of ISIS loyalists, both fighters and their families, opted to surrender—and face life in crammed prisons and dreary detention camps—rather than become martyrs in ISIS’s promised paradise.",4
5,The dangers are far from over.,5
6,ISIS has sleeper agents.,6
7,"“There are thousands,” General Mazloum Kobani Abdi, the reclusive politician turned commander who led the campaign against ISIS in Syria, told me, when I travelled through the former caliphate last month.",7
8,"Abu Bakr al-Baghdadi, the Islamic State’s “caliph” and the world’s most wanted man, has evaded capture.",8
9,"ISIS also still has affiliates active from Nigeria to Afghanistan, from Egypt to the Philippines.",9
10,"“Frankly, our job has just started,” Mazloum warned.",10
11,"“We are finishing the great battle, then we will fight a different kind of war.”",11
12,The drive to flush ISIS out of Syrian territory was described as “the most successful unconventional military campaign in history” by the Middle East Institute last month.,12
13,More than a dozen American diplomats and military officials involved in Syria told me the same thing.,13
14,"The campaign was distinct from the counterpart operation in neighboring Iraq, where the United States coördinated with a friendly government, retrained its conventional Army, provided sophisticated weaponry, established a headquarters for a coalition of seventy-four countries, and had legal status granted by parliament.",14
15,The campaign in Syria liberated roughly the same amount of territory.,15
16,"But it relied on an unlikely partnership between élite U.S. Special Forces teams and a scrappy local militia led by Mazloum, a middle-aged Kurdish rebel whose face has been weathered by years of conflict and five stints in Syrian prisons.",16
17,"They all operated in defiance of the Syrian government and its Russian, Iranian, and Hezbollah allies deployed nearby.",17
18,Their mission was shrouded in secrecy.,18
19,"American troops wore no identifying insignias, ranks, or names on their uniforms.",19
20,"The Syrian fighters knew only the first names of the Americans, including the commander.",20
21,Yet they established an unusual level of trust.,21
22,"The U.S.-led international coalition provided air cover, but it depended on the Syrian Democratic Forces, or S.D.F., to protect their troops on the ground.",22
29,"Together, they seized twenty thousand square miles in northern Syria, a dusty region of crops, pastures, and oil fields that reminded me of Oklahoma.",29
30,"When I drove around Raqqa, the former ISIS capital, little girls with ponytails and pastel backpacks were headed to school—after years of being banned from education or even from leaving home.",30
31,"Women, their faces uncovered, strolled to the street markets rising amid the rubble, much of it created by U.S. air strikes.",31
32,"Small groups of men sat curbside, sipping their morning tea and smoking, another practice that was banned under ISIS.",32
33,"At several shops, workers were pounding twisted construction rods—giant metal tumbleweeds pulled from bombed-out buildings—to flatten them, for use in reconstruction.",33
34,"Spring lambs, small and pristine white, nibbled along the roadsides.",34
35,"In Washington and other Western capitals, the territorial defeat of ISIS, which for years was considered the greatest threat to global security, will almost certainly be studied as a model for future counterterrorism operations.",35
37,"is the best unconventional partner force we’ve ever had, anywhere,” Brett McGurk, the former lead coördinator of the campaign against ISIS, who is now a fellow at Stanford, told me.",37
39,"in effect conquered one-third of Syria, once the heart of the ISIS caliphate, with very low costs for the United States.” Mazloum, who is on Turkey’s most-wanted list, evolved into one of the most important U.S. allies in the Middle East.",39
40,"The collaboration—which deepened over three phases—is an epic with twists, tragedies, and, ultimately, betrayal at an enormous cost to America’s allies in Syria.",40
41,Eleven thousand Kurdish fighters have died since 2014.,41
42,The Americans have lost eight.,42
43,"The alliance was seeded in August, 2014, a month after ISIS declared its caliphate and a week after a lightning ISIS offensive began in Iraq.",43
44,Marauding ISIS fighters murdered thousands of Yazidi men and abducted truckloads of women.,44
45,"Tens of thousands of fleeing Yazidis, a mostly Kurdish-speaking minority summarily declared apostates by ISIS, were stranded on the arid peaks of Mount Sinjar without food, water, or a way out.",45
46,"Fearing genocide, President Obama authorized the first major U.S. intervention against the Islamic State—air strikes on ISIS positions in Iraq, and air drops of humanitarian goods to the Yazidis.",46
