ArticleID,Article Name,HIT_ID,WorkerID,Sentence Order #,Sentence,Is_Relevant (Yes/No),Sentence_1.input,Sentence_2.input,Sentence_3.input,Sentence_4.input,Sentence_5.input,Sentence_6.input,Sentence_7.input,Sentence_8.input,Sentence_9.input,Sentence_10.input,Sentence_11.input,Sentence_12.input,Sentence_13.input,Sentence_14.input,Sentence_15.input,Sentence_16.input,Sentence_17.input,Sentence_18.input,Sentence_19.input,Sentence_20.input,Sentence_21.input,Sentence_22.input,Sentence_23.input,Sentence_24.input,Sentence_25.input,Sentence_1.output,Sentence_2.output,Sentence_3.output,Sentence_4.output,Sentence_5.output,Sentence_6.output,Sentence_7.output,Sentence_8.output,Sentence_9.output,Sentence_10.output,Sentence_11.output,Sentence_12.output,Sentence_13.output,Sentence_14.output,Sentence_15.output,Sentence_16.output,Sentence_17.output,Sentence_18.output,Sentence_19.output,Sentence_20.output,Sentence_21.output,Sentence_22.output,Sentence_23.output,Sentence_24.output,Sentence_25.output
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT1,Worker1,0,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election Bernard Avishai If the final polls on the Israeli election are to be believed—by law, there will be no more revealed before the voting begins, on Tuesday morning—things are looking better for Prime Minister Benjamin Netanyahu’s Likud Party than for Blue and White, the new centrist party led by the former military Chief of Staff Benny Gantz.",Yes,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT2,Worker2,1,"The two continue to run neck and neck in the race for a plurality in the Knesset—with about thirty seats each, out of a total of a hundred and twenty.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT3,Worker3,2,"But both are running with a bloc of smaller parties, and Netanyahu’s bloc seems more likely than Gantz’s to win a sixty-one-seat Knesset majority.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT4,Worker4,3,The President typically bestows a mandate to form a government on the leader of the party that wins a plurality—except in cases where a bloc of parties led by someone else wins a clear majority.,No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT5,Worker5,4,"That is how Netanyahu won in 2009, and it’s why the polls still favor him.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT6,Worker6,5,"A majority of voters are now either hoping that he will remain in office, or are bracing for it.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT7,Worker7,6,"In a recent Channel 12 poll, fifty-eight per cent of respondents said that Netanyahu will be the next Prime Minister.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT8,Worker8,7,But only thirty-six per cent wanted him to be.,No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT9,Worker9,8,"Given the quirks of the Israeli electoral system, though, the polls may prove misleading.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT10,Worker10,9,"The margin of error is around four per cent, which means that it may be impossible to divine the fates of the all-important smaller parties.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT11,Worker11,10,Each must win three and a quarter per cent of the total vote in order to enter the Knesset; a vote for a party that does not clear that threshold is simply wasted.,No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT12,Worker12,11,"Fully seven parties—two in Gantz’s potential bloc, five in Netanyahu’s—have been polling close to extinction at various points in the campaign.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT13,Worker13,12,"Moreover, according to an April 2nd poll, more than eight per cent of voters are still undecided.",No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
Article1,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election",HIT14,Worker14,13,So Gantz’s bloc could squeak out a win.,No,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,X,X,X,X,X,X,X,X,X,X
