,0,1
0,"Kirstjen Nielsen’s Inevitable Resignation from the Department of Homeland Security Jonathan Blitzer Last May, the Secretary of Homeland Security, Kirstjen Nielsen, threatened to resign after President Trump humiliated her in a Cabinet meeting.",0
1,"At the time, the number of Central American migrants arriving at the U.S. border was rising, with fifty thousand people being arrested each month, and the President was blaming her personally.",1
2,“Why don’t you have solutions?” he demanded at the meeting.,2
3,"“How is this still happening?” Influential figures in the White House, led by Stephen Miller, the President’s senior policy adviser, had long been suspicious of Nielsen’s establishment credentials, and Trump, who personally disliked her, had always resented the fact that her mentor, John Kelly, who was then the White House chief of staff, had forced her nomination on him.",3
4,"More than anything else, though, it was the timing of her confirmation, in December, 2017, that made Nielsen particularly vulnerable; it coincided with an uptick in regional migration, which enabled her detractors within the Administration to portray her to the President as ineffectual and insufficiently loyal to his agenda.",4
5,Nielsen managed to stay in her post only because there was no obvious way for Trump to remove her.,5
6,"“The Administration can’t get rid of Nielsen,” a D.H.S.",6
7,official told me that spring.,7
8,"“She doesn’t even have a deputy right now to fill in for her if she leaves.” On Sunday evening, Nielsen still did not have a confirmed deputy to succeed her when, under pressure from the President, she announced her resignation.",8
9,"In March, after months of steady increases in the number of immigrants arriving at the southern border, U.S. authorities arrested nearly a hundred thousand people.",9
10,"It was the highest rate of monthly apprehensions in more than a decade, and the Department’s enforcement agencies have had to release hundreds of families into the country because the government no longer has the capacity to hold them all.",10
11,"Trump has responded by declaring a national emergency, moving to cut all aid to Central America and threatening to close ports of entry along the southern border.",11
12,"Publicly, Nielsen supported the President, but privately, one Administration official told CNN, she felt that the situation was “untenable” and Trump was “becoming increasingly unhinged .",12
13,.,13
14,.,14
15,"and making unreasonable and even impossible requests.” At 5 P.M. on Sunday, Nielsen travelled to the White House to discuss border policy with the President; when she emerged, the President announced her departure.",15
16,"What’s most striking about Nielsen’s exit isn’t that she left at a moment of political upheaval, or even that she managed to hang on to her post for as long as she did.",16
17,"In the past year, even as Nielsen pursued the most aggressive enforcement strategy of any secretary in the history of the department, Trump saw her as too weak to be trusted.",17
18,The Administration’s most controversial immigration policies—from family separation to the recent overhaul of asylum practices known as Remain in Mexico—all happened on Nielsen’s watch.,18
19,She defended these policies to the press and to Congress and frequently lied in the process.,19
20,"Nielsen continues to claim, for instance, that the Trump Administration never had a policy of separating families at the border.",20
21,"“She was willing to toe the Trump line in ways that were dishonest,” one Administration official told me.",21
22,“The worst part about her time at D.H.S.,22
23,"is that she hasn’t been an honest broker.” The greatest irony of Nielsen’s tenure may be that, in an Administration full of anti-immigration stalwarts, she was not an ideologue but an opportunist.",23
24,"While she was never a true believer, like Stephen Miller, she became nearly as notorious, having weaponized immigration policy in the battle for her own political survival.",24
25,"Three days before Nielsen’s resignation, the White House had rejected another immigration official for a top job in the Administration.",25
