,agreement,article_id,max_votes,sentence_order,votes
0,0.0,6,8,"(6, 100)",0
1,37.5,6,8,"(6, 101)",3
2,37.5,6,8,"(6, 102)",3
3,12.5,6,8,"(6, 103)",1
4,12.5,6,8,"(6, 104)",1
5,25.0,6,8,"(6, 105)",2
6,0.0,6,8,"(6, 106)",0
7,25.0,6,8,"(6, 200)",2
8,12.5,6,8,"(6, 201)",1
9,50.0,6,8,"(6, 202)",4
10,50.0,6,8,"(6, 203)",4
11,12.5,6,8,"(6, 204)",1
12,25.0,6,8,"(6, 205)",2
13,12.5,6,8,"(6, 206)",1
14,0.0,6,8,"(6, 207)",0
15,0.0,6,8,"(6, 300)",0
16,25.0,6,8,"(6, 400)",2
17,37.5,6,8,"(6, 401)",3
18,0.0,6,8,"(6, 402)",0
19,50.0,6,8,"(6, 403)",4
20,50.0,6,8,"(6, 404)",4
21,12.5,6,8,"(6, 405)",1
22,0.0,6,8,"(6, 406)",0
23,0.0,6,8,"(6, 407)",0
24,50.0,6,8,"(6, 408)",4
25,25.0,6,8,"(6, 409)",2
26,0.0,6,8,"(6, 410)",0
27,0.0,6,8,"(6, 500)",0
28,0.0,6,8,"(6, 600)",0
29,12.5,6,8,"(6, 700)",1
30,37.5,6,8,"(6, 701)",3
31,75.0,6,8,"(6, 702)",6
32,12.5,6,8,"(6, 703)",1
33,37.5,6,8,"(6, 704)",3
34,0.0,6,8,"(6, 705)",0
35,12.5,6,8,"(6, 800)",1
36,37.5,6,8,"(6, 801)",3
37,62.5,6,8,"(6, 802)",5
38,0.0,6,8,"(6, 803)",0
39,0.0,6,8,"(6, 900)",0
40,75.0,6,8,"(6, 901)",6
41,25.0,6,8,"(6, 902)",2
42,0.0,6,8,"(6, 903)",0
43,12.5,6,8,"(6, 1000)",1
44,25.0,6,8,"(6, 1001)",2
45,37.5,6,8,"(6, 1002)",3
46,25.0,6,8,"(6, 1003)",2
47,25.0,6,8,"(6, 1004)",2
48,12.5,6,8,"(6, 1005)",1
49,0.0,6,8,"(6, 1006)",0
50,25.0,6,8,"(6, 1100)",2
51,12.5,6,8,"(6, 1101)",1
52,12.5,6,8,"(6, 1102)",1
53,0.0,6,8,"(6, 1103)",0
54,12.5,6,8,"(6, 1200)",1
55,12.5,6,8,"(6, 1201)",1
56,62.5,6,8,"(6, 1202)",5
57,25.0,6,8,"(6, 1203)",2
