,sentence,sentence_id
0,TL;DR uses crowdsourcing to generate a summary of long and verbose text.,"(6, 100)"
1,"News articles, especially ones from The New Yorker, are notoriously long and winding.","(6, 101)"
2,"In addition, dense, lengthy language makes it hard for people to keep up with the news when they don’t have a lot of time.","(6, 102)"
3,"By using the crowd to filter out superfluous sentences or highlighting important ones, a summary is generated that includes only information most people would find important.","(6, 103)"
4,It also reduces s the complexity and length of the article  thus allowing users to understand its content without having to read the entire thing.,"(6, 104)"
5,"Further, we hope that this same technique could be extended in the future to be able to provide summaries for additional kinds of text, such as terms and conditions documents, privacy statements, academic papers, research studies, books, and any other long-form text.","(6, 105)"
6,,"(6, 106)"
7,"There are many news summary services that provide short, concise summaries of news articles every day.","(6, 200)"
8,"TheSkimm, is one such website that sends daily news article summaries to subscribers.","(6, 201)"
9,They also have an app that provides the same service for mobile devices.,"(6, 202)"
10,"Beyond those specific to news, there are numerous online summary generators that allow users to put in text and the service automatically generates a summary of that text.","(6, 203)"
11,"We are using one of these websites, to compare our summaries to in order to assess their quality.","(6, 204)"
12,Another online text summarizer takes in a URL or the text that needs to be summarized and outputs a summary containing the number of sentences the user requests.,"(6, 205)"
13,This allows us to compare the quality of the summaries we generate with the quality of summaries existing tools create.,"(6, 206)"
14,,"(6, 207)"
15,nan,"(6, 300)"
16,TL;DR uses crowdsourcing to generate a summary of long and verbose text.,"(6, 100)"
17,"News articles, especially ones from The New Yorker, are notoriously long and winding.","(6, 101)"
18,"In addition, dense, lengthy language makes it hard for people to keep up with the news when they don’t have a lot of time.","(6, 102)"
19,"By using the crowd to filter out superfluous sentences or highlighting important ones, a summary is generated that includes only information most people would find important.","(6, 103)"
20,It also reduces s the complexity and length of the article  thus allowing users to understand its content without having to read the entire thing.,"(6, 104)"
21,"Further, we hope that this same technique could be extended in the future to be able to provide summaries for additional kinds of text, such as terms and conditions documents, privacy statements, academic papers, research studies, books, and any other long-form text.","(6, 105)"
22,,"(6, 106)"
23,"There are many news summary services that provide short, concise summaries of news articles every day.","(6, 200)"
24,"TheSkimm, is one such website that sends daily news article summaries to subscribers.","(6, 201)"
25,They also have an app that provides the same service for mobile devices.,"(6, 202)"
26,"Beyond those specific to news, there are numerous online summary generators that allow users to put in text and the service automatically generates a summary of that text.","(6, 203)"
27,"We are using one of these websites, to compare our summaries to in order to assess their quality.","(6, 204)"
28,Another online text summarizer takes in a URL or the text that needs to be summarized and outputs a summary containing the number of sentences the user requests.,"(6, 205)"
29,This allows us to compare the quality of the summaries we generate with the quality of summaries existing tools create.,"(6, 206)"
30,,"(6, 207)"
31,nan,"(6, 300)"
32,TL;DR uses crowdsourcing to generate a summary of long and verbose text.,"(6, 100)"
33,"News articles, especially ones from The New Yorker, are notoriously long and winding.","(6, 101)"
34,"In addition, dense, lengthy language makes it hard for people to keep up with the news when they don’t have a lot of time.","(6, 102)"
35,"By using the crowd to filter out superfluous sentences or highlighting important ones, a summary is generated that includes only information most people would find important.","(6, 103)"
36,It also reduces s the complexity and length of the article  thus allowing users to understand its content without having to read the entire thing.,"(6, 104)"
37,"Further, we hope that this same technique could be extended in the future to be able to provide summaries for additional kinds of text, such as terms and conditions documents, privacy statements, academic papers, research studies, books, and any other long-form text.","(6, 105)"
38,,"(6, 106)"
39,"There are many news summary services that provide short, concise summaries of news articles every day.","(6, 200)"
40,"TheSkimm, is one such website that sends daily news article summaries to subscribers.","(6, 201)"
41,They also have an app that provides the same service for mobile devices.,"(6, 202)"
42,"Beyond those specific to news, there are numerous online summary generators that allow users to put in text and the service automatically generates a summary of that text.","(6, 203)"
