,agreement,article_id,max_votes,sentence_order,votes
0,80.0,1,5,"(1, 100)",4
1,40.0,1,5,"(1, 101)",2
2,20.0,1,5,"(1, 102)",1
3,20.0,1,5,"(1, 103)",1
4,20.0,1,5,"(1, 104)",1
5,20.0,1,5,"(1, 105)",1
6,40.0,1,5,"(1, 106)",2
7,0.0,1,5,"(1, 107)",0
8,0.0,1,5,"(1, 200)",0
9,40.0,1,5,"(1, 201)",2
10,20.0,1,5,"(1, 202)",1
11,60.0,1,5,"(1, 203)",3
12,20.0,1,5,"(1, 204)",1
13,0.0,1,5,"(1, 205)",0
14,0.0,1,5,"(1, 206)",0
15,0.0,1,5,"(1, 207)",0
16,20.0,1,5,"(1, 208)",1
17,60.0,1,5,"(1, 209)",3
18,0.0,1,5,"(1, 210)",0
19,40.0,1,5,"(1, 300)",2
20,60.0,1,5,"(1, 301)",3
21,20.0,1,5,"(1, 302)",1
22,60.0,1,5,"(1, 303)",3
23,40.0,1,5,"(1, 304)",2
24,0.0,1,5,"(1, 305)",0
25,40.0,1,5,"(1, 400)",2
26,40.0,1,5,"(1, 401)",2
27,20.0,1,5,"(1, 402)",1
28,20.0,1,5,"(1, 403)",1
29,20.0,1,5,"(1, 404)",1
30,60.0,1,5,"(1, 405)",3
31,0.0,1,5,"(1, 406)",0
32,20.0,1,5,"(1, 500)",1
33,40.0,1,5,"(1, 501)",2
34,0.0,1,5,"(1, 502)",0
35,40.0,1,5,"(1, 503)",2
36,20.0,1,5,"(1, 504)",1
37,20.0,1,5,"(1, 505)",1
38,60.0,1,5,"(1, 506)",3
39,0.0,1,5,"(1, 507)",0
40,100.0,1,5,"(1, 600)",5
41,20.0,1,5,"(1, 601)",1
42,40.0,1,5,"(1, 602)",2
43,40.0,1,5,"(1, 603)",2
44,20.0,1,5,"(1, 604)",1
45,0.0,1,5,"(1, 605)",0
46,60.0,1,5,"(1, 700)",3
47,40.0,1,5,"(1, 701)",2
48,20.0,1,5,"(1, 702)",1
49,0.0,1,5,"(1, 703)",0
50,0.0,1,5,"(1, 704)",0
51,80.0,1,5,"(1, 705)",4
52,40.0,1,5,"(1, 706)",2
53,20.0,1,5,"(1, 707)",1
54,0.0,1,5,"(1, 708)",0
55,80.0,1,5,"(1, 800)",4
56,80.0,1,5,"(1, 801)",4
57,20.0,1,5,"(1, 802)",1
58,20.0,1,5,"(1, 803)",1
59,0.0,1,5,"(1, 804)",0
60,40.0,1,5,"(1, 900)",2
61,80.0,1,5,"(1, 901)",4
62,60.0,1,5,"(1, 902)",3
63,20.0,1,5,"(1, 903)",1
64,20.0,1,5,"(1, 904)",1
65,20.0,1,5,"(1, 905)",1
66,80.0,1,5,"(1, 906)",4
67,0.0,1,5,"(1, 907)",0
68,0.0,1,5,"(1, 908)",0
69,0.0,1,5,"(1, 909)",0
70,0.0,1,5,"(1, 910)",0
71,40.0,1,5,"(1, 911)",2
72,0.0,1,5,"(1, 912)",0
73,12.5,2,8,"(2, 400)",1
74,50.0,2,8,"(2, 401)",4
75,25.0,2,8,"(2, 402)",2
76,12.5,2,8,"(2, 403)",1
