,agreement,article_id,max_votes,sentence,votes
0,100.0,Article1,10,"Netanyahu, Gantz, and Five Scenarios for the Israeli Election Bernard Avishai If the final polls on the Israeli election are to be believed—by law, there will be no more revealed before the voting begins, on Tuesday morning—things are looking better for Prime Minister Benjamin Netanyahu’s Likud Party than for Blue and White, the new centrist party led by the former military Chief of Staff Benny Gantz.",10
1,10.0,Article1,10,"The two continue to run neck and neck in the race for a plurality in the Knesset—with about thirty seats each, out of a total of a hundred and twenty.",1
2,10.0,Article1,10,"But both are running with a bloc of smaller parties, and Netanyahu’s bloc seems more likely than Gantz’s to win a sixty-one-seat Knesset majority.",1
3,10.0,Article1,10,The President typically bestows a mandate to form a government on the leader of the party that wins a plurality—except in cases where a bloc of parties led by someone else wins a clear majority.,1
4,0.0,Article1,10,"That is how Netanyahu won in 2009, and it’s why the polls still favor him.",0
5,0.0,Article1,10,"A majority of voters are now either hoping that he will remain in office, or are bracing for it.",0
6,0.0,Article1,10,"In a recent Channel 12 poll, fifty-eight per cent of respondents said that Netanyahu will be the next Prime Minister.",0
7,10.0,Article1,10,But only thirty-six per cent wanted him to be.,1
8,10.0,Article1,10,"Given the quirks of the Israeli electoral system, though, the polls may prove misleading.",1
9,10.0,Article1,10,"The margin of error is around four per cent, which means that it may be impossible to divine the fates of the all-important smaller parties.",1
10,0.0,Article1,10,Each must win three and a quarter per cent of the total vote in order to enter the Knesset; a vote for a party that does not clear that threshold is simply wasted.,0
11,10.0,Article1,10,"Fully seven parties—two in Gantz’s potential bloc, five in Netanyahu’s—have been polling close to extinction at various points in the campaign.",1
12,0.0,Article1,10,"Moreover, according to an April 2nd poll, more than eight per cent of voters are still undecided.",0
13,20.0,Article1,10,So Gantz’s bloc could squeak out a win.,2
14,10.0,Article1,10,Or Netanyahu’s could win in a landslide.,1
15,0.0,Article1,10,"Or either leader could win a plurality for his party, but not a majority for his bloc.",0
16,20.0,Article1,10,"In fact, the polls reveal little about the serious difficulties that either of them, even with a clear win, will face in forming a government.",2
17,100.0,Article1,10,Consider the head-spinning possibilities: Gantz wins outright—and his problems begin.,10
